ID_Venta,Fecha,Producto,Categoria_producto,Precio,Cantidad_vendida,Region,Descuento,Metodo_Pago
1,2024-09-18,Producto B,Categoria 2,190.38,56,Este,0.49,Transferencia
2,2023-10-31,Producto A,Categoria 2,232.7,54,Este,0.36,Tarjeta
3,2024-01-09,Producto A,Categoria 2,833.45,89,Sur,0.24,Transferencia
4,2024-04-21,Producto A,Categoria 1,966.19,24,Este,0.02,Tarjeta
5,2024-02-12,Producto E,Categoria 2,646.09,77,Este,0.39,Transferencia
6,2024-05-30,Producto B,Categoria 1,442.24,89,Sur,0.35,Efectivo
7,2024-04-05,Producto E,Categoria 2,687.48,92,Sur,0.29,Tarjeta
8,2024-05-07,Producto E,Categoria 1,325.61,39,Norte,0.1,Tarjeta
9,2024-03-11,Producto B,Categoria 2,214.28,12,Este,0.47,Transferencia
10,2024-08-21,Producto B,Categoria 2,67.26,16,Sur,0.09,Transferencia
11,2024-09-13,Producto D,Categoria 3,691.35,95,Norte,0.31,Efectivo
12,2024-04-26,Producto C,Categoria 2,52.58,80,Este,0.23,Tarjeta
13,2024-02-23,Producto A,Categoria 1,588.29,62,Este,0.29,Transferencia
14,2024-03-25,Producto D,Categoria 1,967.47,29,Este,0.19,Tarjeta
15,2024-07-08,Producto D,Categoria 1,245.73,71,Oeste,0.3,Efectivo
16,2024-04-14,Producto D,Categoria 2,735.26,62,Norte,0.11,Efectivo
17,2024-08-01,Producto E,Categoria 2,544.24,84,Norte,0.32,Efectivo
18,2024-03-30,Producto C,Categoria 3,644.83,27,Oeste,0.37,Transferencia
19,2024-03-14,Producto C,Categoria 1,814.74,52,Este,0.49,Transferencia
20,2024-07-14,Producto D,Categoria 2,460.13,56,Oeste,0.5,Efectivo
21,2024-02-22,Producto A,Categoria 3,972.22,28,Este,0.25,Transferencia
22,2024-09-27,Producto C,Categoria 1,591.25,67,Oeste,0.07,Transferencia
23,2023-11-09,Producto A,Categoria 1,939.93,70,Este,0.48,Transferencia
24,2024-05-15,Producto B,Categoria 2,867.73,31,Oeste,0.44,Tarjeta
25,2024-10-16,Producto D,Categoria 2,65.58,70,Norte,0.4,Transferencia
26,2023-10-23,Producto E,Categoria 3,40.03,13,Oeste,0.47,Efectivo
27,2024-06-20,Producto B,Categoria 2,83.73,46,Sur,0.42,Efectivo
28,2024-08-12,Producto A,Categoria 2,69.86,1,Sur,0.37,Tarjeta
29,2024-08-12,Producto C,Categoria 3,692.73,9,Sur,0.27,Tarjeta
30,2024-07-18,Producto E,Categoria 1,512.4,20,Norte,0.09,Transferencia
31,2023-12-24,Producto B,Categoria 3,867.78,74,Sur,0.16,Efectivo
32,2024-10-16,Producto B,Categoria 2,561.53,58,Norte,0.34,Transferencia
33,2024-09-20,Producto C,Categoria 3,259.64,35,Este,0.43,Efectivo
34,2024-03-31,Producto D,Categoria 2,521.74,38,Sur,0.36,Transferencia
35,2024-04-24,Producto D,Categoria 3,12.37,74,Sur,0.12,Efectivo
36,2024-07-10,Producto D,Categoria 2,719.66,63,Norte,0.25,Tarjeta
37,2024-03-13,Producto E,Categoria 3,630.5,5,Oeste,0.44,Transferencia
38,2024-08-17,Producto A,Categoria 1,353.93,92,Norte,0.07,Tarjeta
39,2024-01-05,Producto C,Categoria 1,264.42,34,Este,0.17,Efectivo
40,2023-12-14,Producto D,Categoria 3,776.34,64,Norte,0.16,Efectivo
41,2023-12-10,Producto C,Categoria 3,237.28,14,Este,0.39,Efectivo
42,2023-12-04,Producto D,Categoria 1,949.35,98,Este,0.3,Tarjeta
43,2024-04-04,Producto D,Categoria 1,869.02,1,Norte,0.26,Efectivo
44,2024-08-14,Producto E,Categoria 3,351.95,74,Norte,0.17,Tarjeta
45,2024-02-18,Producto E,Categoria 3,550.92,63,Norte,0.24,Efectivo
46,2023-11-20,Producto D,Categoria 3,819.43,55,Sur,0.13,Efectivo
47,2023-10-31,Producto E,Categoria 3,414.65,16,Oeste,0.04,Tarjeta
48,2023-11-28,Producto D,Categoria 3,755.83,86,Sur,0.22,Transferencia
49,2024-05-24,Producto A,Categoria 1,117.05,16,Sur,0.42,Tarjeta
50,2024-01-08,Producto B,Categoria 2,675.66,85,Este,0.04,Transferencia
